kanji	on	kun	en	bg
叡	えい	あき.らか	Intelligence | Imperial	мъдрост | императорски
哉	さい	かな や	How | What | Alas | Question Mark | Exclamation Mark	как | какво | уви (възклицателна частица)
奎	けい き		Star | God Of Literature	звезда | бог на литературата
宥	ゆう	なだ.める ゆる.す	Soothe | Calm | Pacify	успокоявам | утешавам | прощавам
崚	りょう		Mountains Towering In A Row	редица извисяващи се планини
嵩	すう しゅう	かさ かさ.む たか.い	Be Aggravated | Grow Worse | Grow Bulky | Swell	обем | нараствам | уголемявам се | подувам се
恕	じょ しょ	ゆる.す	Excuse | Tolerate | Forgive	извинявам | търпя | прощавам
捷	しょう そう	はや.い	Victory | Fast	победа | бърз
捺	なつ だつ	さ.す お.す	Press | Print | Affix A Seal | Stamp	печатам | поставям печат
昂	こう ごう	あ.がる たか.い たか.ぶる	Rise	издигам се | възбуждам се
昴	こう ぼう	すばる	The Pleiades	Плеяди
晏	あん	おそ.い	Late | Quiet | Sets (sun)	късен | тих | залязва (за слънцето)
晟	せい じょう	あきらか	Clear	ясен
晨	しん	あした とき あさ	Morning | Early	сутрин | рано
柊	しゅ しゅう	ひいらぎ	Holly	падуб
柾		まさ まさめ まさき	Straight Grain | Spindle Tree | (kokuji)	права дървесна жилка | евонимус (храст)
栞	かん	しおり	Bookmark | Guidebook	отметка (за книга) | пътеводител
梢	しょう	こずえ くすのき	Treetops | Twig	връх на дърво | клонче
梧	ご	あおぎり	Chinese Parasol Tree | Phoenix Tree	фирмиана (дърво)
椋	りょう	むく	Type Of Deciduous Tree | Grey Starling	вид листопадно дърво | сив скорец
椰	や	やし	Coconut Tree	кокосова палма
楓	ふう	かえで	Maple	клен
洵	じゅん しゅん	の.ぶ まこと.に	Alike | Truth	наистина | истина
滉	こう	ひろ.い	Deep And Broad	дълбок и широк
澪	れい	みお	Water Route | Shipping Channel	воден път | плавателен канал
熙	き	たのし.む ひか.る ひろ.い よろこ.ぶ かわ.く あきらか ひろ.める ひろ.まる	Bright | Sunny | Prosperous | Merry	светъл | слънчев | процъфтяващ | весел
燎	りょう	かがりび	Burn | Bonfire	горя | огън на открито
燦	さん	さん.たる あき.らか きらめ.く きら.めく	Brilliant	блестящ | лъчезарен
燿	よう	かがや.く ひかり	Shine	блестя | сияя
爾	じ に	なんじ しかり その のみ おれ しか	You | Thou | Second Person	ти (архаично)
玖	きゅう く		Beautiful Black Jewel | Nine	черен скъпоценен камък | девет
琳	りん		Jewel | Tinkling Of Jewelry	скъпоценен камък | звънтене на накити
瑚	こ ご		Ancestral Offering Receptacle | Coral	корал
瑳	さ	みが.く	Polish | Brilliant White Luster Of A Gem | Artful Smile	полирам | блясък на скъпоценен камък
瑶	よう	たま	Beautiful As A Jewel	красив като скъпоценен камък
眸	ぼう む	ひとみ	Pupil Of The Eye	зеница
碩	せき	おお.きい	Large | Great | Eminent	голям | велик | изтъкнат
竣	どう しゅん	わらわ わらべ おわ.る	End | Finish	завършвам | приключвам
笙	しょう そう	ふえ	A Reed Instrument	шо (японски духов инструмент)
紗	さ しゃ	うすぎぬ	Gauze | Gossamer	воал | тюл
紬	ちゅう	つむぎ つむ.ぐ	Pongee (a Knotted Silk Cloth)	цумуги (вид копринен плат)
絃	げん	いと	String | Cord | Samisen Music	струна | музика за струнни инструменти
綸	りん かん	いと	Thread | Silk Cloth	конец | копринен плат
耶	や じゃ	か	Question Mark	въпросителна частица
胤	いん	たね	Descendent | Issue | Offspring	потомък | поколение
脹	ちょう	は.れる ふく.らむ ふく.れる	Dilate | Distend | Bulge | Fill Out | Swell	подувам се | разширявам се
茄	か		Eggplant	патладжан
茉	まつ ばつ ま		Jasmine	жасмин
莉	り らい れい		Jasmine	жасмин
莞	かん	い	Smiling | Reed Used To Cover Tatami	усмихвам се | тръстика за рогозки
菖	しょう		Iris	перуника
菫	きん	すみれ	The Violet	теменужка
蓉	よう		Lotus	лотос
蕗	ろ る	ふき	Butterbur | Bog Rhubarb	бутербур (растение)
衿	きん こん	えり	Neck | Collar | Lapel	яка | ревер
袈	け か		A Coarse Camlet	груб плат | монашеска роба
裟	さ しゃ		Buddhist Surplice	будистка монашеска роба
詢	じゅん しゅん	はか.る まこと	Consult With	съветвам се | консултирам се
誼	ぎ	よしみ よい	Friendship | Intimacy	приятелство | близост
諄	しゅん	ひちくど.い くど.い くどくど ねんご.ろ	Tedious	досаден | многословен
諒	りょう	あきら.か まことに	Fact | Reality | Understand | Appreciate	разбирам | оценявам | истина
迪	てき	みち みちび.く すす.む いた.る	Edify | Way | Path	път | напътствам
銑	せん		Pig Iron	чугун
錘	すい	つむ おもり	Weight | Plumb Bob | Sinker | Spindle	тежест | отвес | вретено
鞠	きく きゅう	まり	Ball	топка
頌	しょう じゅ よう	かたち たた.える ほめ.る	Eulogy	възхвала | ода
颯	さつ そう	さっ.と	Sudden | Quick | Sound Of The Wind	внезапен | бърз | шум на вятъра
麟	りん		Chinese Unicorn | Genius | Giraffe | Bright | Shining	митично същество цилин | гений | жираф
麿		まろ	I | You | (kokuji)	аз | ти (архаично)
菱	りょう	ひし	Diamond (shape) | Water Chestnut | Rhombus	ромб | воден кестен
煕	き	たのし.む ひか.る ひろ.い よろこ.ぶ かわ.く あきらか ひろ.める ひろ.まる	Shine	блестя | сияя
幌	こう	ほろ とばり	Canopy | Awning | Hood | Curtain	покривало | сенник | качулка
梶	び	かじ こずえ	Sculling Oar	кормово гребло
渕	えん かく こう	ふち かた.い はなわ	Edge	ръб | дълбок вир
孜	し	つと.める	Industriousness	трудолюбие
盧	ろ		Hut	колиба
笠	りゅう	かさ	Bamboo Hat | One's Influence	бамбукова шапка | влияние
趙	ちょう じょう きょう		Nimble | Late-going	пъргав | закъснял
筑	ちく		An Ancient Musical Instrument	цуку (древен музикален инструмент)
篠	ぞう しょう	しの ささ すず	Bamboo Grass	бамбукова трева
菅	かん けん	すげ	Sedge	острица
俣		また	Crotch | Thigh | Groin | (kokuji)	чатал | слабини
淵	えん かく こう	ふち かた.い はなわ	Abyss | Edge | Deep Pool | The Depths	бездна | дълбок вир | дълбини
柏	はく ひゃく びゃく	かしわ	Oak | Cypress	дъб | кипарис
辻		つじ	Crossing | Crossroad | Street Corners | (kokuji)	кръстовище | ъгъл на улица
荻	てき	おぎ	Reed | Rush	тръстика
嶋	とう	しま	Island	остров
柴	さい し	しば	Brush | Firewood	съчки | храсти
磐	ばん はん	いわ	Rock | Crag | Cliff | Wall (in A Mine)	скала | канара | стръмнина
鄭	てい じょう		An Ancient Chinese Province	древно китайско царство Джън?
芦	ろ	あし よし	Reed | Bullrush	тръстика | папур
龍	りゅう りょう ろう	たつ	Dragon | Imperial	дракон | императорски
釧	せん	くしろ うでわ	Bracelet	гривна
嶌	とう	しま	Island	остров
函	かん	はこ い.れる	Box (archaic)	кутия | сандък
鴨	おう	かも あひる	Wild Duck | Easy Mark	дива патица | лесна жертва
樋	とう	ひ とい	Water Pipe | Gutter | Downspout | Conduit	водосточна тръба | улук
吾	ご	われ わが- あ-	I | My | Our | One's Own	аз | мой | наш
倶	ぐ く	とも.に	Both	заедно | двамата
堺	かい	さかい	World	свят | граница
呆	ほう	ほけ.る ぼ.ける あき.れる おろか	Be Amazed | Disgusted | Shocked	смаян | слабоумен | глупав
窪	わ あ	くぼ.む くぼ.み くぼ.まる くぼ	Depression | Cave In | Sink | Become Hollow	падина | хлътвам | вдлъбнатина
雀	じゃく じゃん さく しゃく	すずめ	Sparrow	врабче
畠		はたけ はた	Field | Farm | Garden | (kokuji)	нива | градина
蒲	ほ ぼ ふ ぶ	がま かば かま	Bullrush | Flag | Cattail	папур | тръстика
粕	はく	かす	Scrap | Waste	утайка | остатък
冨	ふ ふう	と.む とみ	Enrich | Wealthy | Abundant	обогатявам | богат | изобилен
湘	しょう		Name Of Chinese River | The Sagami River	име на китайска река | река Сагами
灘	たん だん	なだ せ	Open Sea	открито море
堰	えん	せき せ.く	Dam | Prevent | Stop Up	бент | язовир | преграждам
獅	し	しし	Lion	лъв
姜	きょう が	こう	Chinese Surname | Ginger	китайско фамилно име | джинджифил
鷲	しゅう じゅ	わし	Eagle	орел
芥	かい け	からし ごみ あくた	Mustard | Rape | Dust | Trash | Rubbish	горчица | прах | боклук
其	き ぎ ご	それ その	That	това | онова
榎	か	えのき	Lotus Tree | Nettle Tree | Hackberry	вид дърво (келтис)?
劉	りゅう る	ころ.す	Weapon Of War | Logging Axe | Kill En Masse | Peeling (paint Off A Wall, Etc) | Sparse | Faded	избивам в голям брой | секира за дърва | оредял
幡	まん はん ばん ほん	はた	Flag	знаме
諏	しゅ す	そう はか.る	Consult	съветвам се | допитвам се
崔	がい さい すい	がけ	Cliff | Bluff | Precipice	скала | стръмнина | пропаст
琵	び ひ		Glissando On Strings | Lute	лютня (японска биуа)
琶	は べ わ		Lute	лютня
聯	れん	つら.なる つら.ねる	Party | Gang | Clique	свързвам | група | клика
蘇	そ す	よみがえ.る	Be Resuscitated | Revived | Perilla | Shiso	съживявам се | възкръсвам | перила (растение)
樽	そん	たる	Barrel | Cask | Keg	бъчва | бъчонка
薩	さつ さち		Salvation | Buddha	спасение | използва се фонетично, напр. в „бодхисатва“
淀	てん でん	よど.む	Pool | Eddy	вир | водовъртеж
麹	きく	こうじ	Malt | Yeast	малц | мая (коджи)
哨	しょう	みはり	Scout | Sentinel	часови | пост | охрана
炒	そう しょう	い.る いた.める	Broil | Parch | Roast | Fry	пържа | изпържвам | пека
屏	へい びょう	おお.う しりぞ.く びょう.ぶ	Wall | Fence	стена | преграда | параван
梁	りょう	はり うつばり うちばり やな はし	Weir | Fish Trap | Beam | Girder	греда | балка | рибарска бентова преграда
箕	き	み	Winnowing	веене на зърно | веячка
芭	ば は		Banana	банан
逗	とう ず	とど.まる	Stop	спирам | отбивам се | престоявам
苫	せん	とま	Rush Matting	рогозка от тръстика
楢	しゅう ゆう	なら	Oak	дъб
兜	とう と	かぶと	Helmet | Head Piece	шлем | каска
姑	こ	しゅうとめ しゅうと おば しばらく	Mother-in-law	свекърва | тъща
烏	う お	からす いずくんぞ なんぞ	Crow | Raven	врана | гарван
僑	きょう		Temporary Home	временно жилище | преселник в чужбина
奄	えん	おお.う たちまち	Cover | Suffocate | Obstruct	покривам | задушавам | препречвам
桧	かい	ひのき ひ	Japanese Cypress	японски кипарис
宋	そう		Dwell | Sung Dynasty	династия Сун (Китай)
藝	げい うん	う.える のり わざ	Art | Craft | Performance | Acting | Trick | Stunt	изкуство | занаят | изпълнение | номер
魏	ぎ	たか.い	High | Large | Kingdom Of Wei	високо | голямо | царство Уей (Китай)
篇	へん		Volume | Chapter | Book | Editing | Compilation	том | глава | книга | съставяне
此	し	これ この ここ	This | Current | Next | Coming | Last | Past	това | настоящ | следващ
峯	ほう	みね ね	Peak | Summit	връх
菩	ぼ		Kind Of Grass | Sacred Tree	свещено дърво | използва се фонетично, напр. в „бодхисатва“
檜	かい	ひのき ひ	Japanese Cypress	японски кипарис
牟	ぼう む		Pupil (eye) | Moo (cow Sound)	зеница на окото | мучене на крава
榊		さかき	Sacred Shinto Tree | (kokuji)	свещено синтоистко дърво (сакаки)
錫	せき しゃく	すず たま.う	Copper | Tin	калай
荏	じん にん		Bean | Perilla | Herb | Soft | Pliable	перила (растение) | мек | гъвкав
廟	びょう みょう	たまや みたまや やしろ	Mausoleum | Shrine | Palace	мавзолей | храм | дворец
銚	ちょう よう	なべ	Sake Bottle	съд за саке | гарафа за саке
薮	そう	やぶ	Thicket | Bush | Underbrush | Grove	гъсталак | храсталак
逢	ほう	あ.う むか.える	Meeting | Tryst | Date | Rendezvous	среща | свиждане
凧		いかのぼり たこ	Kite | (kokuji)	хвърчило
鵜	てい だい	う	Cormorant	корморан
庵	あん	いおり いお	Hermitage | Retreat	отшелническа колиба | скит
萬	まん ばん	よろず	Ten Thousand | 10,000	десет хиляди
鴈	がん	かり かりがね	Wild Goose	дива гъска
狼	ろう	おおかみ	Wolf	вълк
尖	せん	とが.る さき するど.い	Be Pointed | Sharp | Taper | Displeased | Angry | Edgy	остър | заострен | изопнат
翫	がん	もてあそ.ぶ	Take Pleasure In | Play Instrument	наслаждавам се | свиря на инструмент
嶽	がく	たけ	Peak	връх
卿	けい きょう	きみ	You | Lord | Secretary | State Minister	господар | лорд | министър
已	い	や.む すで.に のみ はなはだ	Stop | Halt | Previously | Already | Long Ago	спирам | вече | отдавна
粟	ぞく しょく そく	あわ もみ	Millet	просо
燕	えん	つばめ つばくら つばくろ	Swallow (bird)	лястовица
綴	てい てつ てち げつ	と.じる つづ.る つづり すみ.やか	Compose | Spell | Write | Bind (books)	съставям | пиша | подвързвам книги
埴	しょく	はに へな	Clay	глина
魯	ろ	おろか	Foolish | Russia	глупав | Русия
牡	ぼ ぼう	おす お- おん-	Male	мъжки (за животно)
迦	か け		(used Phonetically)	използва се фонетично, напр. в „Шака“ (Буда)
蔭	いん おん	かげ	Shade | Shadow | Backing Assistance	сянка | закрила | подкрепа
焉	えん	いずく.んぞ ここに これ	How | Why | Then	как | защо | тогава
祇	ぎ き し	くにつかみ ただ まさに	National Or Local God | Peaceful | Great	местно божество | мир | велик
鷺	ろ	さぎ	Heron	чапла
袴	こ く	はかま ずぼん	Men's Formal Divided Skirt	хакама (японска пола-панталон)
苅	がい かい	か.る	Cutting (grass)	кося | режа трева
讃	さん	ほ.める たた.える	Praise | Title On A Picture	възхвала | надпис върху картина
尹	いん	おさ ただ.す	An Official Rank	официален чин в древен Китай
湛	たん ちん じん せん	しず.む たた.える	Fill | Wear (a Smile) | Clear | Pure | Dense | Deep	изпълвам | усмихвам се широко | бистър | дълбок
狐	こ	きつね	Fox	лисица
鴎	おう	かもめ	Seagull	чайка
瀋	しん		Juice | Broth	сок | бульон
挺	ちょう てい	ぬ.く	Counter For Guns, Inksticks, Palanquins, Rickshaws | Bravely Volunteer	брояч за дълги тесни предмети (напр. пушки, мастилени пръчици, паланкини, рикши) | доброволно се притичвам на помощ
雁	がん	かり かりがね	Wild Goose	дива гъска
佃	てん でん	つくだ	Cultivated Rice Field	обработено оризище
狛	はく	こま	Archaic Part Of Korea | Lion-dog Shrine Guards	древно наименование на част от Корея? | каменни кучета-лъвове пазители на храм
壷	こ	つぼ	Jar | Pot | Hinge Knuckle | One's Aim	делва | гърне | ставна кухина? | цел
橿	きょう	かし もちのき	Oak	дъб
播	は ばん はん	ま.く	Plant | Sow	сея | засявам
帖	ちょう じょう	かきもの	Quire (of Paper) | Bundle Of Seaweed | Counter For Screens | Notebook	топ хартия | сноп водорасли | брояч за паравани | тетрадка
桶	よう とう	おけ	Tub | Bucket	каца | кофа
鞍	あん	くら	Saddle	седло
萱	けん	かや かんぞう	Miscanthus Reed	мискантус (тръстиковидна трева)?
梯	てい たい	はしご	Ladder | Stairs | Insatiable Drinking	стълба | стъпала | ненаситно пиене?
雫	だ	しずく	Drop | Trickle | Dripping | (kokuji)	капка | струйка | капене
絆	はん	きずな ほだ.す つな.ぐ	Bonds | Fetters	връзка (между хора) | окови
湊	そう	みなと あつ.まる	Port | Harbor	пристанище
舵	だ た	かじ	Rudder | Helm | Wheel	кормило | щурвал
珂	か		Jewel	скъпоценен камък
煥	かん	あきらか	Shine	блясък | сияние
癌	がん		Cancer | Cancerous Evil	рак (болест) | зло, разяждащо като рак
峨	が	けわ.しい	High Mountain	висока планина
嘘	きょ こ	うそ ふ.く	Lie | Falsehood	лъжа
旛	へん はん	はた	Flag	знаме
篭	ろう る	かご こ.める こも.る こ.む	Seclude Oneself | Cage | Coop | Implied	затварям се | клетка | кошара | скрит смисъл
娼	しょう	あそびめ	Prostitute	проститутка
篆	てん		Seal-style Characters	печатно писмо (стар китайски калиграфски стил)
鮫	こう	さめ みずち	Shark	акула
牌	はい	ぱい ふだ	Label | Signboard | Medal | Mahjong Tiles	табелка | надпис | медал | плочка за маджонг
宕	とう	すぎる	Cave	пещера
喧	けん	やかま.しい かまびす.しい	Noisy | Boisterous	шумен | буен
蒋	しょう そう	まこも はげ.ます	Reed	тръстика
樟	しょう	くす	Camphor	камфор
櫛	しつ	くし くしけず.る	Comb	гребен
濡	じゅ にゅ	ぬれ.る ぬら.す ぬ.れる ぬ.らす うるお.い うるお.う うるお.す	Get Wet | Damp | Make Love	мокря се | влажен | любя се
槍	そう しょう	やり	Spear | Lance | Javelin	копие
襄	じょう しょう	はら.う	Rise | Raise	издигам се | повдигам
蛋	たん		Barbarian | Egg	варварин | яйце
笘	せん ちょう		Whip | Cane | Wooden Writing Slate	камшик | бастун | дървена плочка за писане
宍	にく じく	しし	Muscles | Meat	мускули | месо
壕	こう ごう	ほり	Trench | Dugout | Air Raid Shelter	окоп | землянка | бомбоубежище
囃	さつ そう	はや.す はやし	Play (music) | Accompany | Beat Time | Banter | Jeer | Applaud	съпровождам с музика | отмервам такт | подигравам се | ръкопляскам
簗	りょう	やな	Weir | Fish Trap | (kokuji)	рибарска бентовка
峙	じ	そばだ.つ	Tower | Soar	извисявам се | стърча
粥	いく しゅく じゅく	かゆ かい ひさ.ぐ	Rice Gruel	оризова каша
舘	かん	やかた たて	Mansion | Large Building | Palace	имение | голяма сграда | дворец
銕	てつ	くろがね	Iron | Strong | Solid | Firm	желязо | силен | здрав | твърд
鄒	すう しゅ しゅう		Place Name	географско наименование?
蜷	けん	にな	An Edible River Snail	ядивен речен охлюв
捧	ほう	ささ.げる	Lift Up | Give | Offer | Consecrate | Sacrifice | Dedicate	издигам | поднасям | посвещавам | жертвам
箏	そう しょう	こと	A Koto	кото (японски струнен инструмент)
鵠	こく こう	くぐい まと	Swan	лебед
諌	かん	いさ.め いさ.める	Admonish | Dissuade	увещавам | разубеждавам
樫		かし	Evergreen Oak | (kokuji)	вечнозелен дъб
噂	そん	うわさ	Rumor | Gossip | Hearsay	слух | клюка
牝	ひん	めす め- めん	Female	женски (пол на животно)
洛	らく		Kyoto | The Capital	Киото | столицата
醍	だい たい てい		Whey | Good Buddhist Teaching	суроватка | възвишено будистко учение
砦	さい	とりで	Fort | Stronghold | Entrenchments	крепост | укрепление
笏	こつ	しゃく	Mace | Baton | Scepter	жезъл | скиптър
蕨	けつ	わらび	Bracken | Fernbrake	папрат (орлова папрат)
噺		はなし	Talk | (kokuji)	разказ | история
抒	じょ しょ	く.む の.べる	Tell | 10**24	разказвам | йота (10²⁴)?
隈	わい え	くま すみ	Corner | Nook | Recess	ъгъл | кътче | вдлъбнатина
叩	こう	たた.く はた.く すぎ	Strike | Beat | Kow Tow | Hit | Thrash | Criticize	удрям | бия | покланям се до земята | критикувам
蔡	さい		Type Of Tortoise Used For Divination	вид костенурка, използвана за гадаене?
鍾	しょう しゅ	あつ.める さかずき かね	Spindle | Gather | Collect	вретено | събирам
仇	きゅう ぐ	あだ あた かたき つれあい	Foe | Enemy | Revenge | Grudge | Feud	враг | отмъщение | вражда
夷	い	えびす えみし ころ.す たい.らげる	Barbarian | Savage | Ainu	варварин | дивак | айну
瞑	めい べん みょう みん めん	めい.する つぶ.る つむ.る くら.い	Sleep | Dark | Close Eyes	сън | тъмнина | затварям очи
杭	こう	くい	Stake | Post | Picket	кол | стълб
寓	ぐう ぐ どう	ぐう.する かこつ.ける よ.せる よ.る かりずまい	Temporary Abode | Imply | Suggest	временно жилище | намеквам | внушавам
坐	ざ さ	すわ.る おわす そぞろに まします	Sit	седя
鍼	しん	はり さ.す	Needle	игла (акупунктурна)
塙	かく こう	はなわ かた.い	Projecting Tableland Or Mountain	издадено плато или планина?
葦	い	しお.れる しな.びる しぼ.む な.える	Reed | Bullrush	тръстика
礒	ぎ が	いそ いわお	Rock | Beach | Shore	скалист бряг
咸	かん げん		All | Same	всички | еднакъв
饗	きょう	う.ける もてな.す	Banquet	пир | банкет
歪	わい え	いが.む いびつ ひず.む ゆが.む	Warp | Bend | Strained | Distort	изкривявам | огъвам | изопнат | деформирам
韮	きゅう く	にら	Leek	праз лук
漕	そう	こ.ぐ はこ.ぶ	Rowing | Scull | Paddle	греба
杵	しょ そ	きね	Wooden Pestle	дървен чукан
薔	ば しょう しょく そう	みずたで	Water Pepper	роза (в 薔薇) | водна пиперка?
膠	こう きょう	にかわ にべ	Glue | Isinglass	лепило | рибено лепило
眞	しん	ま まこと	Truth | Reality | Buddhist Sect	истина | реалност | будистка секта (Шин)
蒙	もう ぼう	こうむ.る おお.う くら.い	Ignorance | Darkness | Get | Receive | Be Subjected To | Sustain | Mongolia	невежество | мрак | получавам | претърпявам | Монголия
蕃	ばん はん		Grow Luxuriously	буйно раста
呑	とん どん	の.む	Drink	пия
碓	かく たい	たし.か かく.たる	Pestle	чукало | воденичен трошач
茗	みょう めい	ちゃ	Tea	чай
瀕	ひん	ほとり	Shore | Brink | Verge	бряг | ръб | на прага на
竪	じゅ	たて た.てる こども	Length | Height | Warp	дължина | височина | основа (при тъкане)
瘤	りゅう る	こぶ	Lump | Swelling	подутина | буца
澤	たく	さわ うるお.い うるお.す つや	Swamp	блато
溥	ふ はく	あまねし	Far And Wide	надлъж и нашир
或	わく こく いき	あ.る あるい あるいは	Some | One | Or | Possibly | A Certain	някой | или | вероятно | определен
矩	く	かね かねざし さしがね	Ruler | Carpenter's Square	линия | дърводелски ъгъломер
厦	か さ	いえ	House	къща | здание
冤	えん		False Charge | Hatred	неправомерно обвинение | несправедливост
侠	きょう	きゃん おとこだて	Tomboy | Chivalry	рицарство | юначество | смелост
贅	せい	いぼ	Luxury	разкош | лукс
杖	じょう	つえ	Staff | Cane	тояга | бастун
汪	おう		Flowing Full | Expanse Of Water | Wide | Deep	голямо водно пространство | широк | дълбок
猷	ゆう よう	はかりごと はか.る	Plan | Scheme | Plot | Way	план | замисъл | начин
搜	そう しゅ しゅう	さが.す	Search | Seek | Investigate	търсене | издирване | разследване
曼	まん ばん	なが.い	Wide | Beautiful	широк | красив
撚	ねん	よ.る よ.れる より ひね.る	Twist | Twine | Kinky	усуквам | навивам | къдрав
噛	こう ごう	か.む か.じる	Chew | Bite | Gnaw	дъвча | хапя | гриза
桝		ます	Measuring Box | (kokuji)	мерителна кутия | мерителен съд
撫	ぶ ふ	な.でる	Stroke | Pat | Smooth Down	галя | потупвам | приглаждам
喋	ちょう とう	しゃべ.る ついば.む	Talk | Chat | Chatter	говоря | бъбря | дърдоря
溢	いつ	こぼ.れる あふ.れる み.ちる	Overflow | Inundate | Spill	преливам | заливам | разсипвам се
闊	かつ	ひろ.い	Wide	широк | просторен
藏	ぞう そう	くら おさ.める かく.れる	Hide | Own | Have | Possess	склад | крия | притежавам | имам
浙	せつ		Name Of A Chinese River	название на китайска река?
彭	ほう		Swelling | Sound Of Drum	подуване | звук на барабан
淘	とう	よな.げる	Select	подбирам | пресявам | подбор
剃	てい	まい そ.る す.る	Shave	бръсна | бръснене
揃	せん	そろ.える そろ.う そろ.い き.る	Be Complete | Uniform | All Present	пълен комплект | еднакъв | събирам се
徘	はい	さまよ.う	Wander	скитам се | бродя
巷	こう	ちまた	Fork In Road | Scene | Arena | Theater	улица | квартал | хорска мълва
竿	かん	さお	Pole | Rod | Scale Beam | Violin Neck	прът | стълб | рамо на везна
蟹	かい	かに	Crab	рак (морско животно)
袁	えん おん		Long Kimono	дълго кимоно?
舩	せん	ふね ふな-	Boat | Ship | Vessel	лодка | кораб | плавателен съд
頬	きょう	ほお ほほ	Cheeks | Jaw	буза | челюст
厨	しゅう ず ちゅ ちゅう	くりや	Kitchen	кухня
犀	さい せい		Rhinocerous	носорог
簑	さ さい	みの	A Coat Raincoat	сламено наметало | дъждобран от слама
甦	そ こう	よみがえ.る	Be Resuscitated | Revived	съживявам се | възкръсвам
檄	けき	げき.する ふれぶみ	Written Appeal | Manifesto	възвание | манифест
姚	よう ちょう	うつく.しい	Beautiful	красив
蛭	しつ ちつ	ひる	Leech	пиявица
叢	そう す	くさむら むら.がる むら	Plexus | Clump Of Bushes | Thicket	храсталак | гъсталак | сборник (от книги)
椙		すぎ	Japanese Cedar | Cryptomeria | (kokuji)	японски кедър | криптомерия
轟	ごう こう	とどろ.かす とどろ.く	Roar | Thunder | Boom Resound	ехтя | гърмя | тътен
贋	がん	にせ	Counterfeit | Forgery	фалшив | подправен | фалшификат
洒	しゃ そん さい せん せい	すす.ぐ あら.う	Wash | Sprinkle	мия | пръскам | елегантен | изискан
貰	せい しゃ	もら.う	Get | Have | Obtain	получавам | вземам
儲	ちょ	もう.ける もう.かる もうけ たくわ.える	Be Profitable | Yield Profit	печеля | печалба | изгода
諜	ちょう	ちょう.ずる うかが.う しめ.す	Spy Out | Reconnoiter	шпионирам | разузнавам
蓼	しん りく りょう	たで	Luxurious Grass | A Smartweed	растение от рода Polygonum? | водна лапад?
甕	おう	かめ みか	Jar | Jug | Vat	делва | гърне | стомна
喘	ぜん せん	あえ.ぐ せき	Pant | Gasp | Breathe Hard	дишам тежко | задъхвам се | астма
溜	りゅう	た.まる たま.る た.める したた.る たまり ため	Collect | Gather | Be In Arrears	събирам се | натрупвам | локва
鉾	ぼう む	ほこ	Halberd | Arms | Festival Float	алебарда | копие | фестивална количка
燈	とう	ひ ほ- ともしび とも.す あかり	Lamp | Light | Counter For Lights	лампа | светлина | брояч за лампи
瓜	か け	うり	Melon	пъпеш | тиквено растение
槌	つい	つち	Hammer | Mallet	чук | малей
嗜	し	たしな.む たしな.み この.む この.み	Like | Taste | Modest	харесвам | вкус | пристрастие
偕	かい	ともに	Together	заедно
蹄	てい	ひづめ	Hoof	копито
頚	けい	くび	Neck | Head	шия | врат
胚	はい	はらみ はら.む	Embryo	зародиш | ембрион
牢	ろう	かた.い ひとや	Prison | Jail | Hardness	затвор | тъмница | здравина
糞	ふん	くそ	Shit | Feces | Excrement	изпражнения | тор | лайно
吊	ちょう	つ.る つる.す	Suspend | Hang | Wear (sword)	окачвам | вися
楕	だ た		Ellipse	елипса
鮭	かい けい	さけ しゃけ ふぐ	Salmon	сьомга
詫	た	わび わび.しい かこつ わ.びる わび.る	Apologize	извинявам се | извинение
鱒	そん せん ざん	ます	Salmon Trout	пъстърва
轍	てつ	わだちい わだち	Rut | Wheel Track	коловоз | следа от колело
醤	しょう	ひしお	A Kind Of Miso	вид ферментирала паста (мисо)? | соев сос (в съставни думи)
惚	こつ	ほけ.る ぼ.ける ほ.れる	Fall In Love With | Admire | Grow Senile	влюбвам се | възхищавам се | оглупявам от старост
廣	こう	ひろ.い ひろ.まる ひろ.める ひろ.がる ひろ.げる	Broad | Wide | Spacious	широк | просторен | обширен
藁	こう	わら	Straw	слама
舛	ぶ せん	まい そむ.く	Dancing Radical (no. 136)	радикал „танц“ (бр. 136) | противопоставям се
縞	こう	しま しろぎぬ	Stripe	ивица | черта
謳	おう う	うた.う	Extol | Declare | Express	възхвалявам | прославям | изразявам
杞	こ き		River Willow	върба (вид)?
鱗	りん	うろこ こけ こけら	Scales (fish)	люспа
釘	てい ちょう	くぎ	Nail | Tack | Peg	пирон | гвоздей
弛	ち し	たる.む たる.める たゆ.む ゆる.む ゆる.み	Slacken | Relax	отпускам се | разхлабвам се | отслабвам
狸	り らい	たぬき	Tanuki | Raccoon	тануки (японски миеновиден пес) | енот
壬	にん じん い	みずのえ	9th Calendar Sign	девети небесен ствол (календарен знак)
硯	けん げん	すずり	Inkstone	каменна плоча за мастило
蝦	か げ	えび	Shrimp | Prawn | Lobster	скарида | рак (ракообразно) | омар
㐆			To Follow | To Trust To | To Put Confidence In | To Depend On | To Turn Around | To Turn The Body	следвам | доверявам се | разчитам на | обръщам се
㐬			A Cup With Pendants | A Pennant | Wild | Barren | Uncultivated	чаша с висулки? | флагче? | див | необработен
㐮			To Help | To Assist | To Achieve | To Rise | To Raise	помагам | подпомагам | постигам | издигам
㑨			Great | Big | Tall | Vast | Noble | High In Rank | Very | Much	велик | голям | висок | благороден
